Jenis_Kelamin,Umur,SIM,Kode_Daerah,Sudah_Asuransi,Umur_Kendaraan,Kendaraan_Rusak,Premi,Kanal_Penjualan,Lama_Berlangganan,Tertarik,prediksi_tertarik
2.0,0.6777506133974616,1,-1.3836063795658102,0,2,1,1.2175518381292785,-1.6197398247959365,-0.11444623549326874,0,0
1.0,-1.0744380491110694,1,1.5460710391949795,1,1,0,0.7156485948073188,0.7242918655636256,1.032843711031095,0,0
2.0,0.483062984229847,1,-1.3836063795658102,1,2,0,0.48599999267145005,0.20339593437261178,-1.4410002361620644,0,0
1.0,-0.8148545435542501,1,0.11879229672177415,1,1,0,0.9274477969558553,0.7242918655636256,0.5189534224837238,0,0
2.0,-1.0095421727218648,1,-0.8577668428651557,1,1,0,0.21921643194124635,0.7242918655636256,0.7699230982859284,0,0
1.0,-1.0095421727218648,1,0.7197517672368079,0,1,1,0.48599999267145005,0.7242918655636256,0.9611380893733225,0,0
1.0,-1.1393339255002743,1,0.7197517672368079,1,1,0,-1.8143157850063587,0.7242918655636256,-0.7358949565272992,0,0
2.0,-1.0744380491110694,1,-0.4070472399788804,1,1,0,1.0528039279013728,0.7242918655636256,0.829677783000739,0,0
2.0,-1.0744380491110694,1,-1.6840861148233273,1,1,0,0.8710956682602163,0.7242918655636256,1.3196661976621862,0,0
2.0,0.7426464897866664,1,1.4709511053806001,0,2,1,0.20293996758498167,0.7614987177915551,-1.7278227227931555,1,0
1.0,1.1320217481218955,1,0.11879229672177415,0,3,1,1.6411502424263515,-1.6197398247959365,-1.6680680380783448,1,0
2.0,2.3650433995167877,1,-1.0831266443082934,1,2,0,-0.4273968894389321,0.20339593437261178,-1.6561171011353828,0,0
1.0,0.8724382425650761,1,0.11879229672177415,0,2,1,0.7957999234860675,0.16618908214468223,0.38749311611114046,1,0
2.0,-0.8148545435542501,1,-0.10656750472136352,0,1,0,-0.8842321075055204,0.7242918655636256,-1.6680680380783448,0,0
2.0,-0.8797504199434549,1,0.9451115686799456,1,1,0,-1.8143157850063587,0.7242918655636256,-0.06664248772142024,0,0
2.0,2.235251646738378,1,0.11879229672177415,0,2,1,0.055836291827312305,-1.6197398247959365,-0.4610234068391703,0,0
1.0,-1.0744380491110694,1,-0.0314475709069843,0,1,1,-1.8143157850063587,0.7242918655636256,-0.9629627584435796,0,0
2.0,1.7160846356247392,1,0.11879229672177415,1,2,0,-1.8143157850063587,-0.9872233369211341,-0.8554043259569204,0,0
1.0,1.0671258717326906,1,1.771430840638117,1,2,0,1.1404779922069666,-1.6197398247959365,0.3516403052822541,0,0
1.0,-1.0095421727218648,1,0.419272031979291,0,1,1,-1.8143157850063587,0.7242918655636256,0.04091594476523887,0,0
1.0,-1.0095421727218648,1,0.26903216435053257,1,1,0,1.6738399481502781,0.7242918655636256,-0.6641893348695265,0,0
1.0,-0.6850627907758404,1,-1.1582465781226727,0,1,1,-0.1414645471131229,0.7242918655636256,-0.8076005781850719,0,0
1.0,-0.23079165605140642,1,0.11879229672177415,0,3,1,0.4104306938745069,0.20339593437261178,0.4591987377689132,1,0
2.0,0.22347947867302756,1,0.11879229672177415,0,2,1,1.3103550403622666,0.16618908214468223,-1.02271744315839,0,0
2.0,-0.8797504199434549,1,0.19391223053615336,1,1,0,0.860427061371236,0.7242918655636256,-0.4610234068391703,0,0
1.0,0.5479588606190519,1,0.9451115686799456,0,2,0,0.34484611690955813,-1.6197398247959365,1.3435680715481104,0,0
2.0,-0.9446462963326598,1,1.095351436308704,0,1,1,0.4857948271543543,0.7242918655636256,-0.9271099476146931,1,0
1.0,0.28837535506223244,1,0.11879229672177415,0,2,1,1.3746402357189422,-1.6197398247959365,0.07676875559412524,0,0
2.0,-0.4903751616082258,1,-1.1582465781226727,1,1,0,-0.20780139764075622,0.7242918655636256,1.200156828232565,0,0
1.0,-1.0095421727218648,1,0.4943919657936703,1,1,0,0.17927754461326917,0.7242918655636256,-0.6522383979265644,0,0
1.0,-1.0744380491110694,1,-1.8343259824520857,1,1,0,-0.7073110432632653,0.7242918655636256,0.9730890263162846,0,0
1.0,0.6777506133974616,1,1.095351436308704,0,3,1,-1.8143157850063587,0.20339593437261178,-1.1780796234168978,0,0
1.0,1.7160846356247392,1,0.11879229672177415,0,2,1,-1.8143157850063587,0.20339593437261178,0.02896500782227674,0,0
